pplfair,pplhlp,ppltrst,rdtot,tvtot,euftf,gincdif,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,imbgeco,aesfdrk,atcherp,happy,health,inprdsc,rlgdgr,sclmeet,ccnthum,impenva,impfreea,impfuna,impricha,impsafea,imptrada,ipadvnta,ipcrtiva,ipeqopta,iplylfra,ipmodsta,ipudrsta,P_fc,GroupCntry
5,8,5,4,7,5,2,3,0,2,2,6,5,4,0,0,4,2,2,7,3,2,8,5,3,4,3,5,5,2,3,6,3,2,1,1,1,30,1
1,1,0,2,2,0,1,4,4,2,3,3,2,4,1,2,1,3,5,3,3,4,6,5,55,2,2,4,5,2,5,6,2,2,1,2,4,8,0
5,5,5,2,5,4,2,3,3,6,2,6,6,6,0,0,4,2,0,7,2,4,0,6,4,3,2,2,5,3,2,5,4,3,2,4,3,1,0
1,0,0,6,6,10,1,1,1,0,5,2,4,2,1,4,6,4,1,2,3,3,7,6,5,1,1,2,2,1,1,4,2,1,1,1,2,27,1
3,3,4,3,4,5,1,2,1,2,1,1,1,1,1,2,2,3,10,2,4,3,5,3,5,4,2,3,3,2,3,3,2,3,2,3,3,26,3
6,5,4,2,2,5,2,4,5,3,4,5,4,5,4,6,5,4,5,5,3,3,0,4,5,3,4,4,6,3,5,6,4,2,4,2,4,8,0
5,7,4,4,4,1,2,1,4,2,0,3,6,5,0,0,5,2,3,6,3,4,1,4,3,2,2,3,5,2,2,5,2,2,2,2,2,1,4
7,3,1,0,3,5,1,1,0,0,0,3,10,0,0,0,0,3,10,5,2,2,3,4,55,1,1,4,3,1,1,3,1,1,1,1,1,29,3
5,5,5,6,4,10,2,4,0,10,0,5,0,5,0,0,5,1,8,10,1,3,5,6,4,1,2,2,5,2,2,3,2,2,2,1,3,6,2
10,10,3,3,4,6,2,1,5,3,3,6,10,10,5,5,10,2,7,10,2,3,0,6,4,2,2,2,5,2,2,5,2,2,2,2,2,5,0
0,0,0,0,1,3,3,2,1,2,2,2,3,2,2,0,0,2,10,3,3,3,4,3,55,2,1,3,3,3,2,4,2,3,3,2,3,29,3
7,7,6,7,7,5,1,3,0,0,2,0,5,5,0,4,3,3,5,5,3,3,2,7,4,2,2,2,5,2,2,5,2,1,2,2,2,6,2
1,3,1,0,2,6,1,2,5,4,2,4,6,4,3,4,6,1,10,5,2,1,0,4,4,2,3,3,5,3,4,3,1,1,3,1,2,21,1
5,0,2,0,6,5,1,3,1,5,4,3,5,1,0,2,4,2,10,6,2,1,5,3,4,3,3,5,6,2,3,6,4,3,2,1,3,4,3
2,2,5,5,2,5,1,3,5,5,0,5,10,4,0,3,3,1,2,8,2,4,0,6,4,1,1,5,5,5,1,5,1,2,1,2,1,5,0
5,7,3,7,3,4,1,3,2,4,2,3,3,2,1,2,4,3,3,4,4,4,1,4,55,3,3,4,5,4,5,5,4,3,2,4,3,27,1
4,3,3,1,4,1,2,3,3,5,2,4,3,3,1,0,3,2,1,4,3,3,0,6,5,4,2,2,2,2,5,2,3,2,1,5,3,22,1
0,5,5,0,0,5,3,4,5,5,0,10,10,0,0,0,0,1,0,5,1,0,4,7,4,4,4,4,1,4,4,4,4,4,4,4,4,13,3
10,1,5,0,6,10,1,2,10,1,1,1,10,5,5,4,0,2,0,4,5,4,0,6,5,1,1,1,5,1,1,1,1,1,1,2,2,5,0
5,0,1,0,3,3,2,3,5,4,5,4,4,4,4,5,5,2,0,5,2,3,0,4,5,3,3,2,6,2,2,2,1,2,2,3,1,4,3
7,5,4,6,4,5,3,3,2,0,3,4,2,4,4,5,2,2,0,4,2,4,5,4,5,2,4,2,6,1,2,5,1,1,2,2,2,8,0
6,4,6,0,3,5,2,4,4,2,5,2,6,1,2,2,5,2,10,5,3,3,6,3,4,2,3,3,2,2,3,2,2,3,2,3,3,29,3
2,3,3,0,5,5,1,3,2,3,1,2,4,1,1,1,3,2,10,2,3,2,1,4,5,4,4,4,4,1,3,4,5,1,5,2,3,26,3
5,5,5,3,5,5,3,4,3,5,3,3,6,4,1,2,2,2,10,6,2,1,0,3,1,3,3,3,4,2,4,3,3,3,3,4,3,4,3
6,6,4,0,3,3,1,2,3,5,4,3,6,4,3,3,6,1,10,7,2,3,2,4,5,2,1,3,4,4,4,4,2,1,3,2,2,13,3
5,2,3,1,4,6,2,4,4,5,6,5,5,6,3,6,5,2,9,6,2,2,4,6,4,2,2,4,5,2,4,5,4,1,1,2,2,6,4
6,5,6,0,4,5,1,3,3,6,2,5,2,2,1,2,0,2,6,6,1,2,6,7,4,1,1,3,1,1,3,6,1,1,1,1,1,14,2
5,5,3,1,4,3,2,2,3,4,3,4,5,5,3,3,2,2,0,7,3,4,0,4,5,2,1,3,3,1,2,4,1,2,1,3,2,5,0
3,5,4,0,4,4,3,2,3,2,3,3,2,3,5,4,4,3,3,3,2,1,2,2,2,3,3,2,2,2,2,2,2,3,4,3,4,29,4
7,5,6,0,7,5,2,2,5,4,4,6,4,5,3,6,6,1,4,5,2,1,4,5,3,2,4,2,1,2,1,2,2,1,1,3,2,29,3
5,2,0,2,5,5,1,1,3,5,6,4,10,10,4,2,3,1,8,10,1,2,10,7,55,2,2,3,5,2,2,5,2,2,2,2,2,14,4
10,10,10,0,4,6,3,3,6,5,10,5,5,10,6,6,5,2,6,10,3,3,5,6,5,3,4,4,4,4,4,4,5,4,4,5,4,33,4
6,3,4,0,2,4,3,3,5,4,4,5,5,4,3,5,3,2,5,3,2,3,4,5,3,1,3,4,2,2,2,4,2,2,2,4,4,4,3
6,5,4,2,5,5,2,4,6,6,6,6,6,6,4,4,5,2,9,5,4,6,7,3,2,3,3,6,2,2,3,5,2,1,3,3,3,8,0
7,3,4,4,5,10,1,3,2,3,0,2,6,4,0,3,10,3,6,7,2,4,1,6,4,1,1,2,4,3,5,4,2,1,1,3,2,14,2
5,6,6,3,5,4,1,3,4,5,4,5,6,5,4,5,5,2,10,6,3,3,4,5,5,2,2,2,5,2,2,4,2,2,2,2,2,6,2
5,5,5,4,4,5,2,4,6,4,4,6,6,5,6,3,3,1,10,7,1,3,8,6,5,2,3,1,3,2,2,3,2,2,2,3,2,13,3
5,0,5,4,2,0,3,4,0,5,0,1,5,0,0,5,10,2,9,10,1,2,8,7,3,1,3,1,6,2,1,1,1,1,1,1,8,24,4
2,3,0,7,2,1,1,3,2,5,2,3,2,2,0,5,1,2,0,0,3,0,6,1,4,1,1,6,6,3,1,6,2,3,3,3,3,14,2
7,4,5,0,4,6,1,3,5,4,5,5,6,5,5,5,5,3,5,7,3,1,5,5,4,2,4,5,4,2,2,5,5,3,2,3,3,22,1
6,6,2,0,7,4,2,4,1,1,1,4,6,4,0,1,4,2,5,7,2,1,0,4,4,2,3,3,3,2,3,3,3,2,3,3,3,14,2
4,4,5,0,3,5,3,3,1,6,2,6,6,5,1,5,3,2,10,7,1,4,3,4,5,2,2,3,5,2,3,4,2,2,2,3,2,6,2
2,2,3,4,0,5,1,4,1,2,1,1,3,0,2,3,4,4,0,3,3,1,7,2,4,5,2,2,4,1,5,1,4,4,4,2,3,26,4
5,6,3,0,2,6,2,1,0,1,0,5,6,4,2,0,5,2,1,5,1,1,6,2,55,1,1,5,5,2,1,2,2,1,1,1,2,13,3
0,0,0,0,1,0,2,2,0,2,0,2,0,0,0,1,5,2,6,0,3,5,0,4,2,1,1,4,5,1,4,3,2,1,2,1,1,8,0
4,7,6,0,0,4,5,3,4,4,5,6,6,5,4,4,4,2,10,4,2,0,10,4,5,2,2,3,3,2,2,2,3,3,3,2,3,13,3
4,3,0,4,6,5,1,3,0,0,0,3,4,4,0,0,10,4,0,3,1,1,5,1,4,2,2,3,3,2,2,5,2,2,2,2,3,13,3
0,8,0,1,3,3,1,3,3,3,3,3,6,3,2,4,4,3,10,7,2,2,0,6,5,1,1,1,1,2,1,2,2,2,1,3,3,11,4
5,5,4,0,5,0,1,3,5,10,5,0,5,1,1,6,5,1,5,5,3,1,0,6,5,2,1,2,2,3,6,2,2,2,2,1,1,31,1
2,2,4,4,4,3,3,3,4,4,3,3,4,6,5,2,2,3,8,4,4,0,1,2,3,2,3,4,3,4,2,4,3,3,3,4,3,4,4
0,3,0,0,2,10,2,3,0,5,0,0,5,0,1,5,0,2,0,5,4,2,5,5,5,2,2,3,5,2,3,3,3,5,2,2,2,21,4
5,5,3,2,6,4,1,1,5,3,2,6,6,0,0,0,6,1,4,6,1,5,10,5,3,1,1,4,5,1,1,6,4,1,1,1,1,8,0
10,5,0,4,2,10,1,3,0,0,0,0,0,4,0,0,5,3,3,3,4,1,2,2,4,2,2,2,5,2,2,5,2,2,2,2,2,5,0
5,6,1,0,3,5,1,2,3,5,0,6,5,2,0,2,2,3,1,0,2,1,0,2,55,1,6,1,5,1,1,5,3,1,2,3,2,27,1
10,0,10,0,6,10,3,2,5,5,10,5,5,10,10,0,0,1,5,10,3,5,10,4,2,2,2,5,5,1,2,5,4,2,2,1,1,37,3
4,5,6,1,5,5,1,3,1,5,1,5,5,6,0,6,4,2,10,4,1,2,6,4,5,4,3,6,6,2,1,6,4,2,2,2,2,10,4
2,1,5,1,1,5,2,2,4,1,1,1,5,2,1,3,5,2,4,5,2,4,9,4,4,2,3,2,3,2,3,3,2,2,2,2,2,21,1
3,2,3,5,4,3,2,1,0,2,1,1,2,3,1,4,4,2,0,6,3,0,5,1,5,2,4,3,3,2,1,3,2,2,1,2,1,28,1
3,2,0,6,5,6,1,2,3,6,3,1,5,3,2,2,3,2,0,5,2,3,5,6,55,1,2,3,4,3,3,3,2,5,2,2,2,21,1
5,3,0,0,2,5,2,3,6,4,3,5,4,0,0,0,5,2,10,3,3,3,4,2,5,2,3,2,3,3,2,4,4,4,2,4,2,29,3
5,4,4,7,4,5,2,3,3,4,4,4,5,5,5,6,5,2,6,5,3,1,5,4,3,3,3,3,4,3,2,4,3,3,3,4,3,27,1
6,6,6,6,5,4,2,2,5,6,3,6,6,4,2,2,3,2,5,6,2,2,6,4,5,1,2,2,4,3,4,3,1,1,2,3,2,1,0
5,5,4,0,5,5,1,4,3,4,1,4,5,3,0,6,5,2,9,6,2,3,0,6,55,3,2,3,5,1,3,5,2,2,2,2,2,4,3
5,5,5,0,3,5,3,4,5,5,0,5,10,2,0,0,0,1,1,8,1,2,5,7,5,4,4,4,3,4,4,4,4,4,4,4,4,13,3
0,2,0,4,5,2,2,3,2,2,2,6,0,5,0,1,0,3,3,0,3,4,10,2,4,3,5,5,5,2,2,5,3,2,2,2,3,14,2
5,3,5,1,4,3,2,2,4,4,4,4,5,5,3,5,6,2,0,6,2,2,5,6,5,3,4,5,5,2,4,5,4,2,2,4,3,19,4
4,7,2,0,1,5,2,4,2,2,2,6,3,4,4,4,2,2,10,8,2,3,7,6,5,1,2,4,3,1,1,4,3,2,1,1,1,19,1
0,0,0,5,5,4,2,2,4,5,4,4,6,6,3,5,2,4,5,7,2,4,5,6,5,1,2,2,3,2,2,5,2,1,2,3,3,5,0
6,5,6,4,0,5,1,2,5,0,3,0,5,3,2,5,6,2,10,6,4,3,5,6,4,2,1,2,5,2,4,4,3,5,2,4,1,13,3
5,8,2,4,5,0,2,4,3,5,3,4,5,4,1,6,0,2,5,5,2,2,7,5,2,1,2,3,5,2,1,4,5,2,2,2,2,2,0
5,6,5,6,4,5,2,2,2,4,4,3,4,3,4,6,6,2,0,5,3,3,2,6,5,1,2,2,4,4,3,2,2,2,1,4,2,5,0
10,0,10,0,3,10,2,3,10,0,0,0,10,0,0,0,10,1,0,4,2,1,0,6,4,2,2,3,3,2,2,5,2,2,2,2,3,37,3
3,3,4,0,1,3,2,2,4,4,4,4,3,4,3,4,5,2,6,4,2,2,2,3,2,4,4,2,3,5,3,5,3,4,3,4,3,24,1
5,5,5,0,4,5,1,3,4,4,3,3,5,0,0,0,1,2,0,5,3,2,6,3,1,3,4,6,2,2,2,6,3,3,3,3,3,37,3
6,4,5,1,7,6,1,4,4,3,4,5,6,4,2,6,5,2,6,6,3,3,0,3,4,2,5,3,3,1,1,6,3,1,2,2,2,21,1
3,3,4,0,4,3,2,2,2,4,3,4,4,3,2,3,3,3,8,6,2,4,5,5,55,3,1,2,2,2,2,4,1,2,1,4,2,26,3
6,4,5,2,4,0,2,3,3,5,4,4,5,6,4,4,2,3,6,6,3,3,1,6,3,1,3,4,4,1,1,4,2,1,2,1,4,4,4
10,0,0,2,3,5,1,2,0,10,5,0,0,0,0,10,0,4,0,10,4,2,10,1,55,2,2,2,5,2,2,5,2,2,2,2,2,8,0
7,5,5,7,6,0,1,2,0,1,0,1,5,0,0,1,5,3,10,3,3,2,5,3,4,2,2,5,6,2,2,5,4,4,3,4,5,26,3
5,4,4,0,4,4,2,2,4,3,4,4,6,0,0,2,3,2,0,7,2,2,6,4,3,2,2,3,3,2,2,5,2,2,2,2,3,13,3
4,10,5,0,1,5,2,1,0,0,0,2,10,5,0,0,10,2,9,8,2,4,0,4,5,1,1,1,5,1,5,1,1,1,2,1,1,8,0
5,6,5,0,3,3,2,2,4,6,4,5,6,5,5,5,5,1,0,6,1,3,0,7,5,3,2,3,4,5,5,4,4,2,4,3,4,20,0
10,0,10,0,7,6,2,3,0,0,5,5,0,5,3,0,5,2,0,10,3,1,5,6,3,2,2,3,3,2,2,5,2,2,2,2,3,37,3
5,6,4,0,6,5,3,2,3,3,3,3,4,1,3,4,4,2,10,6,3,4,4,4,55,8,2,8,2,8,8,8,8,2,2,2,8,29,3
6,4,6,1,2,3,2,2,3,3,4,3,3,4,3,4,5,2,9,5,3,1,5,5,5,1,2,4,3,4,4,3,2,1,1,1,1,19,1
5,5,5,0,4,0,1,4,1,4,1,4,3,2,0,0,5,3,5,4,2,1,5,4,4,8,8,8,8,8,8,8,8,8,8,8,8,4,4
10,0,0,0,3,5,1,2,0,0,0,0,0,10,0,0,0,2,10,5,5,1,10,5,5,1,1,6,6,1,1,6,1,1,1,1,1,14,2
4,6,5,2,6,5,1,2,1,10,0,5,6,4,3,0,3,3,1,10,2,4,5,6,4,3,3,1,2,1,2,2,4,3,3,6,5,26,3
10,0,10,2,5,5,1,1,0,5,0,5,10,5,4,6,5,3,10,5,3,3,5,2,4,2,2,2,5,2,2,5,2,2,2,2,2,5,0
4,4,6,3,2,2,2,3,1,2,2,2,1,3,2,2,2,2,4,4,3,3,4,6,3,3,3,4,3,3,4,3,3,3,3,3,3,14,2
5,4,5,3,2,5,1,2,0,0,0,0,4,4,4,2,6,2,9,7,2,4,10,6,55,2,1,5,5,1,3,5,1,1,1,1,1,14,4
5,5,5,2,3,5,2,3,4,5,4,5,6,6,3,5,5,2,0,6,3,3,3,4,5,4,4,5,6,4,6,6,4,4,4,4,4,8,0
4,4,2,0,3,5,1,4,3,2,1,3,5,5,1,4,3,3,1,7,3,2,2,6,4,4,3,3,5,1,4,4,2,1,1,2,2,19,4
9,10,6,0,4,5,1,3,6,5,6,0,10,6,0,5,4,2,7,10,1,4,5,7,5,2,2,2,5,1,3,6,1,1,1,2,2,14,2
5,5,0,6,3,0,1,1,0,5,0,5,0,10,0,0,10,1,10,0,1,3,10,3,5,1,1,5,5,1,2,6,1,1,3,3,4,24,1
4,5,4,3,2,5,1,2,0,1,0,2,5,4,0,2,4,2,0,6,1,4,5,2,3,2,2,3,3,2,4,4,3,1,1,3,2,10,1
5,2,3,0,0,5,2,4,5,5,5,5,5,6,4,5,5,2,10,4,5,2,6,1,4,1,3,6,5,3,6,8,2,2,2,5,4,6,4
5,5,0,2,0,10,2,2,5,5,3,5,5,4,0,0,5,3,6,5,2,3,6,3,3,2,2,2,2,2,2,5,2,2,2,2,2,30,1
3,3,3,2,3,5,1,1,2,4,4,3,5,3,3,6,5,2,5,5,3,3,0,5,5,1,2,2,3,1,2,3,1,1,2,1,2,21,1
5,1,1,3,6,5,1,3,3,2,2,1,6,0,0,2,2,2,0,6,3,1,6,3,1,1,3,4,4,2,2,5,3,3,4,3,4,33,1
6,6,5,6,4,3,1,3,3,0,3,4,0,3,3,3,5,3,3,5,4,2,0,4,4,2,2,3,3,2,2,5,2,2,2,2,3,13,3
10,0,0,0,0,10,2,3,0,0,0,0,0,10,0,0,0,1,0,10,2,1,10,6,3,2,2,3,3,2,2,5,2,2,2,2,3,37,3
2,3,3,0,2,5,4,2,2,2,1,2,3,3,2,5,6,2,0,3,3,3,5,3,1,2,2,3,4,3,2,5,3,1,3,2,2,18,1
6,6,5,0,3,5,2,2,3,6,3,6,6,6,3,6,5,2,8,8,3,3,8,4,5,1,4,1,6,4,1,6,3,1,1,2,2,8,0
3,3,2,0,0,3,2,3,1,1,1,1,2,1,1,1,1,3,1,4,3,1,4,2,5,1,3,5,4,3,2,6,4,3,1,3,4,29,3
5,4,3,0,4,4,3,3,2,4,3,3,3,2,3,3,3,2,6,7,2,2,2,3,55,3,2,4,3,2,4,3,3,4,3,3,3,29,4
5,3,4,1,3,0,3,2,6,3,4,3,6,6,4,5,5,2,6,3,4,3,0,3,3,3,2,3,6,3,3,5,3,4,2,3,3,16,0
1,0,2,0,5,5,2,3,0,1,0,5,2,5,0,5,0,3,0,4,4,0,7,3,4,2,1,3,6,3,6,6,1,2,1,1,4,11,1
3,10,4,0,5,4,3,3,5,1,1,1,6,6,3,1,6,4,0,8,2,1,7,7,5,3,2,3,6,2,3,3,4,2,1,2,2,13,3
7,6,2,3,5,6,4,3,0,3,1,4,2,2,4,5,3,3,2,5,2,5,2,6,4,2,2,2,4,3,2,2,2,1,2,3,3,16,0
5,0,0,0,3,1,1,2,2,4,0,3,3,3,0,0,5,3,1,3,3,2,0,4,3,2,2,3,6,1,1,5,1,1,1,5,2,5,0
2,3,2,3,4,3,2,3,3,3,3,3,5,4,1,4,5,2,5,6,3,1,5,4,55,2,2,4,4,3,2,5,3,3,2,2,2,37,4
4,6,4,0,4,3,1,3,4,4,4,5,5,6,2,4,5,2,1,7,3,6,7,7,1,2,1,1,6,2,5,2,2,1,1,2,1,2,0
5,5,0,0,6,5,2,2,5,5,5,5,5,5,5,5,5,2,10,5,3,3,5,3,5,1,2,1,1,1,1,2,1,1,2,1,2,21,1
3,2,2,1,3,4,2,3,2,3,2,1,3,1,2,2,5,3,1,4,3,2,9,2,5,2,3,2,5,2,2,4,3,1,2,3,5,27,1
5,3,4,0,5,2,1,2,2,5,4,2,3,2,3,4,3,2,0,4,4,1,6,4,5,1,3,3,2,1,3,4,5,2,4,2,4,33,4
2,2,4,4,7,3,3,3,4,4,3,3,4,6,5,2,2,3,8,4,4,0,1,2,3,2,3,4,3,4,2,4,3,3,3,4,3,4,3
6,5,5,0,4,5,2,3,5,5,3,5,6,6,3,1,4,2,5,7,3,3,4,5,3,2,2,2,6,3,2,3,2,2,2,1,1,6,2
3,7,5,0,6,5,2,4,4,3,4,3,6,6,1,5,3,1,1,8,1,4,3,6,55,1,1,1,3,4,1,1,3,3,1,4,3,6,2
5,6,5,3,3,4,2,3,6,5,6,4,6,6,6,6,5,3,5,5,3,3,6,1,1,3,2,4,4,3,4,4,4,3,4,3,3,16,0
4,3,4,5,5,2,1,3,6,5,3,6,6,5,2,0,3,2,5,6,3,2,0,5,4,3,2,4,4,2,5,6,3,3,1,2,3,5,0
5,2,5,0,2,5,2,3,5,3,6,4,5,5,0,4,3,2,10,8,2,4,2,7,1,1,1,2,5,5,5,1,1,1,1,3,1,6,2
3,2,2,0,6,5,4,4,2,4,2,4,3,4,1,0,6,3,0,9,2,4,6,4,55,4,1,4,4,1,4,5,4,3,1,4,5,26,3
4,4,3,0,4,5,1,4,2,5,0,6,5,5,0,2,3,1,10,7,2,2,0,5,5,1,2,6,6,2,2,6,3,2,1,1,2,6,4
7,6,6,0,1,4,2,3,0,4,0,2,3,3,0,0,4,4,10,4,5,3,0,5,4,1,4,1,4,2,4,4,1,1,1,1,3,6,2
3,3,1,0,2,5,1,1,3,4,2,2,6,4,2,2,3,4,10,7,1,2,9,2,5,2,2,3,2,2,2,4,1,2,2,3,3,5,0
7,7,6,3,4,0,1,3,0,4,1,5,5,4,0,0,0,2,10,6,3,1,3,2,2,2,2,2,4,2,2,5,2,2,2,2,2,6,2
5,4,4,2,0,4,2,3,3,3,3,5,3,3,3,3,5,3,4,7,2,4,0,7,5,2,2,5,4,3,2,5,2,2,2,3,2,5,0
5,3,5,2,6,6,3,2,0,2,0,5,6,2,0,3,1,3,4,6,1,0,7,7,3,1,1,3,5,1,1,6,2,2,1,1,2,14,2
0,5,4,0,4,6,4,1,6,5,3,6,10,4,1,1,5,2,5,9,3,6,3,6,3,2,1,2,3,1,2,6,1,1,2,2,2,5,0
2,4,5,1,3,5,3,3,4,5,2,6,5,4,1,3,5,1,0,7,2,3,0,7,1,4,3,4,5,4,5,6,3,2,1,1,2,6,2
3,3,2,0,4,5,1,3,0,4,0,0,3,3,0,3,3,3,10,5,3,1,3,4,5,2,2,5,3,1,2,5,2,2,1,3,3,4,3
5,1,1,6,4,5,2,3,3,6,2,3,5,5,2,5,5,3,5,5,2,1,5,2,4,2,2,5,5,3,1,5,5,3,2,2,3,19,1
2,8,2,2,3,3,2,4,3,5,3,3,4,4,4,5,0,2,0,4,2,1,0,7,5,2,2,2,5,2,2,5,2,2,2,2,2,20,0
7,8,10,0,4,10,2,3,0,0,0,0,0,5,0,1,10,3,1,10,1,3,2,7,3,2,3,2,3,2,4,4,4,2,1,1,1,14,4
5,2,3,0,1,5,1,1,0,5,10,5,10,5,5,6,10,3,1,10,2,6,5,4,5,1,3,1,6,1,3,3,1,1,3,1,1,6,2
